code,description,is_billable
J01.90,"Acute sinusitis, unspecified",1
J01.91,"Acute recurrent sinusitis, unspecified",1
E11.9,"Type 2 diabetes mellitus without complications",1
I10,"Essential (primary) hypertension",1
R51.9,"Headache, unspecified",1
N39.0,"Urinary tract infection, site not specified",1
J20.9,"Acute bronchitis, unspecified",1
J44.9,"Chronic obstructive pulmonary disease, unspecified",1
F41.1,"Generalized anxiety disorder",1
F32.9,"Major depressive disorder, single episode, unspecified",1
M54.50,"Low back pain, unspecified",1
R07.9,"Chest pain, unspecified",1
